term	location	context	action	final_status
causal gene/variant	reader-facing manuscript set	on the input and reference panel. Annotation was descriptive and did not assign causal genes. The ABF screen was limited by model inputs, and the LD-aware validation did not pass its reliability criteria. The D2	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
causal gene/variant	reader-facing manuscript set	ap and nearest-gene fields describe genomic context and were not used to assign causal genes, select candidates or change evidence tiers. ABF colocalization was performed with `coloc` 5.2.3 for 15 non-MHC pair-h	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
causal gene/variant	reader-facing manuscript set	was treated as screening evidence and was not interpreted as confirmation of a causal variant, causal gene or mechanism. ## Fine-mapping QC boundary LD-aware SuSiE fine-mapping and multi-signal colocalization we	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
causal gene/variant	reader-facing manuscript set	screening evidence and was not interpreted as confirmation of a causal variant, causal gene or mechanism. ## Fine-mapping QC boundary LD-aware SuSiE fine-mapping and multi-signal colocalization were attempted	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
causal gene/variant	reader-facing manuscript set	hared genetic architecture. Local genetic correlation does not establish shared causal variants. ABF PP4 does not establish a causal gene. Descriptive annotation does not establish biological mechanism, therapeutic	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
causal gene/variant	reader-facing manuscript set	elation does not establish shared causal variants. ABF PP4 does not establish a causal gene. Descriptive annotation does not establish biological mechanism, therapeutic relevance or clinical utility. The manuscr	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
causal gene/variant	reader-facing manuscript set	entrated and heterogeneous. The map is association-based and does not establish causal variants, mechanisms or clinical utility. ## Introduction Complex diseases frequently co-occur across organ systems, yet the g	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
causal gene/variant	reader-facing manuscript set	family and a clear distinction between regional association sharing and shared causal variants. Recent work has moved in several complementary directions. Multivariate genetic models can summarize broad covariance	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
causal gene/variant	reader-facing manuscript set	re the full pattern of cross-domain sharing. It does not test causal direction, causal genes, biological pathways, clinical prediction or therapeutic utility; ABF results and LD-aware fine-mapping outputs remain	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
causal gene/variant	reader-facing manuscript set	ults were retained as secondary screening evidence and did not establish shared causal variants or causal genes (Fig. 5; Supplementary Fig. 6; Supplementary Table 5). ## LD-aware multi-signal validation did not mee	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
causal gene/variant	reader-facing manuscript set	as secondary screening evidence and did not establish shared causal variants or causal genes (Fig. 5; Supplementary Fig. 6; Supplementary Table 5). ## LD-aware multi-signal validation did not meet prespecified Q	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
causal gene/variant	reader-facing manuscript set	urs across trait comparisons. It is not evidence that the interval contains one causal variant, one causal gene or one biological pathway. This distinction matters because pleiotropy can arise through multiple vari	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
causal gene/variant	reader-facing manuscript set	parisons. It is not evidence that the interval contains one causal variant, one causal gene or one biological pathway. This distinction matters because pleiotropy can arise through multiple variants, opposing al	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
causal gene/variant	reader-facing manuscript set	e values prioritize regions for future work, but they do not establish a shared causal variant. The ABF model was based on prespecified intervals, available allele-frequency information and a scalar regional N; BMI	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
causal gene/variant	reader-facing manuscript set	on the input and reference panel. Annotation was descriptive and did not assign causal genes. The ABF screen was limited by model inputs, and the LD-aware validation did not pass its reliability criteria. The D2	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
causal gene/variant	reader-facing manuscript set	ap and nearest-gene fields describe genomic context and were not used to assign causal genes, select candidates or change evidence tiers. ABF colocalization was performed with `coloc` 5.2.3 for 15 non-MHC pair-h	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
causal gene/variant	reader-facing manuscript set	was treated as screening evidence and was not interpreted as confirmation of a causal variant, causal gene or mechanism. ## Fine-mapping QC boundary LD-aware SuSiE fine-mapping and multi-signal colocalization we	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
causal gene/variant	reader-facing manuscript set	screening evidence and was not interpreted as confirmation of a causal variant, causal gene or mechanism. ## Fine-mapping QC boundary LD-aware SuSiE fine-mapping and multi-signal colocalization were attempted	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
causal gene/variant	reader-facing manuscript set	hared genetic architecture. Local genetic correlation does not establish shared causal variants. ABF PP4 does not establish a causal gene. Descriptive annotation does not establish biological mechanism, therapeutic	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
causal gene/variant	reader-facing manuscript set	elation does not establish shared causal variants. ABF PP4 does not establish a causal gene. Descriptive annotation does not establish biological mechanism, therapeutic relevance or clinical utility. The manuscr	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
causal gene/variant	reader-facing manuscript set	annotation is intentionally absent from this display because it does not assign causal genes. Source data: `Figure4_data.tsv`. ## Figure 5 | MDD sensitivity and secondary ABF screening **(A)** Paired display of	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
causal gene/variant	reader-facing manuscript set	were examined. The panel is screening evidence and does not establish a shared causal variant, causal gene, or mechanism. Five LD-aware candidates are retained as quality-control records only. Source data: `Figure	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
causal gene/variant	reader-facing manuscript set	The panel is screening evidence and does not establish a shared causal variant, causal gene, or mechanism. Five LD-aware candidates are retained as quality-control records only. Source data: `Figure5_data.tsv`.	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
causal gene/variant	reader-facing manuscript set	heterogeneity across axes, and distinguishes regional association sharing from causal variants, causal genes and mechanisms. This scope fits *Communications Biology* because the paper presents a secondary analysis	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
causal gene/variant	reader-facing manuscript set	ross axes, and distinguishes regional association sharing from causal variants, causal genes and mechanisms. This scope fits *Communications Biology* because the paper presents a secondary analysis of public biol	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
causal gene/variant	reader-facing manuscript set	e included as a transparent screening layer; they are not presented as proof of causal variants or genes. We have also reported the unresolved LD-aware QC status so that readers can distinguish an unresolved validat	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
causal gene/variant	reader-facing manuscript set	study provides biological context for regional genetic sharing without claiming causal variants, causal genes, mechanisms or clinical utility. ## Novelty bullets - A complete prespecified 27-pair cross-domain comp	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
causal gene/variant	reader-facing manuscript set	ological context for regional genetic sharing without claiming causal variants, causal genes, mechanisms or clinical utility. ## Novelty bullets - A complete prespecified 27-pair cross-domain comparison links g	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
mechanism established	reader-facing manuscript set	rogeneous. The map is association-based and does not establish causal variants, mechanisms or clinical utility. # Introduction Complex diseases frequently co-occur across organ systems, yet the genetic evide	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
mechanism established	reader-facing manuscript set	urrent value is to narrow and organize that follow-up space without assigning a mechanism in advance. Several strengths support the study's interpretive value. The pair family, eligibility rule, primary atlas	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
mechanism established	reader-facing manuscript set	th a biological interpretation of regional sharing, but they preclude claims of mechanism, causality, diagnostic performance or treatment readiness. Taken together, the results support a practical view of mul	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
mechanism established	reader-facing manuscript set	nce and was not interpreted as confirmation of a causal variant, causal gene or mechanism. ## Fine-mapping QC boundary LD-aware SuSiE fine-mapping and multi-signal colocalization were attempted only for five	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
mechanism established	reader-facing manuscript set	t establish a causal gene. Descriptive annotation does not establish biological mechanism, therapeutic relevance or clinical utility. The manuscript did not perform or report proteome MR, pQTL integration, pat	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
mechanism established	reader-facing manuscript set	rogeneous. The map is association-based and does not establish causal variants, mechanisms or clinical utility. ## Introduction Complex diseases frequently co-occur across organ systems, yet the genetic evide	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
mechanism established	reader-facing manuscript set	urrent value is to narrow and organize that follow-up space without assigning a mechanism in advance. Several strengths support the study's interpretive value. The pair family, eligibility rule, primary atlas	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
mechanism established	reader-facing manuscript set	th a biological interpretation of regional sharing, but they preclude claims of mechanism, causality, diagnostic performance or treatment readiness. Taken together, the results support a practical view of mul	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
mechanism established	reader-facing manuscript set	nce and was not interpreted as confirmation of a causal variant, causal gene or mechanism. ## Fine-mapping QC boundary LD-aware SuSiE fine-mapping and multi-signal colocalization were attempted only for five	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
mechanism established	reader-facing manuscript set	t establish a causal gene. Descriptive annotation does not establish biological mechanism, therapeutic relevance or clinical utility. The manuscript did not perform or report proteome MR, pQTL integration, pat	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
mechanism established	reader-facing manuscript set	eening evidence and does not establish a shared causal variant, causal gene, or mechanism. Five LD-aware candidates are retained as quality-control records only. Source data: `Figure5_data.tsv`. ## Supplement	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
mechanism established	reader-facing manuscript set	stinguishes regional association sharing from causal variants, causal genes and mechanisms. This scope fits *Communications Biology* because the paper presents a secondary analysis of public biological data wit	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
mechanism established	reader-facing manuscript set	xt for regional genetic sharing without claiming causal variants, causal genes, mechanisms or clinical utility. ## Novelty bullets - A complete prespecified 27-pair cross-domain comparison links global averag	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
therapeutic target	reader-facing manuscript set	est causal direction, causal genes, biological pathways, clinical prediction or therapeutic utility; ABF results and LD-aware fine-mapping outputs remain bounded by their prespecified QC criteria. The analysis therefore	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
therapeutic target	reader-facing manuscript set	a causal gene. Descriptive annotation does not establish biological mechanism, therapeutic relevance or clinical utility. The manuscript did not perform or report proteome MR, pQTL integration, pathway enrichment, cell-t	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
therapeutic target	reader-facing manuscript set	est causal direction, causal genes, biological pathways, clinical prediction or therapeutic utility; ABF results and LD-aware fine-mapping outputs remain bounded by their prespecified QC criteria. The analysis therefore	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
therapeutic target	reader-facing manuscript set	a causal gene. Descriptive annotation does not establish biological mechanism, therapeutic relevance or clinical utility. The manuscript did not perform or report proteome MR, pQTL integration, pathway enrichment, cell-t	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
clinical utility	reader-facing manuscript set	map is association-based and does not establish causal variants, mechanisms or clinical utility. # Introduction Complex diseases frequently co-occur across organ systems, yet the genetic evidence for such co-occu	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
clinical utility	reader-facing manuscript set	ve annotation does not establish biological mechanism, therapeutic relevance or clinical utility. The manuscript did not perform or report proteome MR, pQTL integration, pathway enrichment, cell-type enrichment, drug	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
clinical utility	reader-facing manuscript set	map is association-based and does not establish causal variants, mechanisms or clinical utility. ## Introduction Complex diseases frequently co-occur across organ systems, yet the genetic evidence for such co-occu	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
clinical utility	reader-facing manuscript set	ve annotation does not establish biological mechanism, therapeutic relevance or clinical utility. The manuscript did not perform or report proteome MR, pQTL integration, pathway enrichment, cell-type enrichment, drug	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
clinical utility	reader-facing manuscript set	l genetic sharing without claiming causal variants, causal genes, mechanisms or clinical utility. ## Novelty bullets - A complete prespecified 27-pair cross-domain comparison links global averages to local regional	Retain only as an explicit evidence boundary; do not present as established.	PASS_BOUNDARY_ONLY
proof	reader-facing manuscript set	esults are included as a transparent screening layer; they are not presented as proof of causal variants or genes. We have also reported the unresolved LD-aware QC status so that readers can distinguish an	Retain only if explicitly negated; otherwise remove.	PASS_BOUNDARY_ONLY
